Germplasm,Trial,Yield (lbs/ac)
MPD_035,MP2_2020,8933.806262
MPD_053,MP2_2021_1,7776.661929
MPD_171,MP2_2021_2,7624.602139
MPD_224,MP2_2021_2,6878.537348
MPD_059,MP2_2021_2,6237.756212
MPD_021,MP2_2021_2,5912.649472
MPD_214,MP2_2021_1,6377.918273
MPD_175,MP2_2021_1,7804.165744
MPD_256,MP2_2021_2,6990.755245
MPD_081,MP2_2020,7562.140956
MPD_242,MP2_2020,8581.14527
MPD_005,MP2_2020,8332.091812
MPD_201,MP2_2020,8572.412783
MPD_009,MP2_2020,8450.448397
MPD_166,MP2_2020,8338.089326
MPD_163,MP2_2020,7681.241804
MPD_054,MP2_2020,8632.942228
MPD_206,MP2_2020,7844.193319
MPD_021,MP2_2020,6930.088991
MPD_183,MP2_2020,8321.237182
MPD_048,MP2_2020,8020.807711
MPD_146,MP2_2020,8179.225453
MPD_285,MP2_2020,7359.127524
MPD_203,MP2_2020,7868.957534
MPD_018,MP2_2020,8874.711213
MPD_171,MP2_2020,8845.680174
MPD_140,MP2_2020,8601.161997
MPD_022,MP2_2020,7836.741097
MPD_029,MP2_2020,9208.444368
MPD_031,MP2_2020,8188.156023
MPD_075,MP2_2020,8528.178333
MPD_152,MP2_2020,9242.315976
MPD_186,MP2_2020,7104.485545
MPD_161,MP2_2020,8717.791988
MPD_011,MP2_2020,7809.77682
MPD_066,MP2_2020,8982.693352
MPD_056,MP2_2020,7922.930343
MPD_063,MP2_2020,8421.262131
MPD_019,MP2_2020,7954.027011
MPD_053,MP2_2020,7984.477521
MPD_077,MP2_2020,8159.686833
MPD_254,MP2_2020,8383.770616
MPD_078,MP2_2020,8580.328235
MPD_045,MP2_2020,7973.397652
MPD_091,MP2_2020,7375.678324
MPD_252,MP2_2020,8330.035423
MPD_155,MP2_2020,8333.879657
MPD_122,MP2_2020,6854.096899
MPD_050,MP2_2020,8172.537885
MPD_291,MP2_2020,8455.811398
MPD_057,MP2_2020,8711.361413
MPD_218,MP2_2020,8061.985022
MPD_164,MP2_2020,9038.122694
MPD_076,MP2_2020,8957.238532
MPD_177,MP2_2020,8243.294789
MPD_148,MP2_2020,8811.317931
MPD_281,MP2_2020,8266.943637
MPD_212,MP2_2020,8203.745852
MPD_003,MP2_2020,8299.607997
MPD_038,MP2_2020,8553.536574
MPD_112,MP2_2020,7419.199085
MPD_207,MP2_2020,8198.271986
MPD_037,MP2_2020,8853.34725
MPD_013,MP2_2020,8453.554968
MPD_008,MP2_2020,7866.361425
MPD_160,MP2_2020,8862.66883
MPD_255,MP2_2020,8812.426986
MPD_132,MP2_2020,8943.736155
MPD_098,MP2_2020,8373.358349
MPD_224,MP2_2020,6938.401002
MPD_136,MP2_2020,8249.464227
MPD_084,MP2_2020,8366.932111
MPD_165,MP2_2020,7866.049888
MPD_015,MP2_2020,8419.106785
MPD_114,MP2_2020,8766.285105
PSDO_MP,MP2_2020,8149.238877
PSDO_MP,MP2_2021_2,7072.289817
PSDO_MP,MP2_2021_1,7955.277323
CTHL_MP,MP2_2021_2,8122.808602
CTHL_MP,MP2_2020,8406.983171
CTHL_MP,MP2_2021_1,8281.89957
PSDO_MP,Across,7725.602006
CTHL_MP,Across,8270.563781
MPD_136,Across,8338.867754
MPD_206,Across,7430.314114
MPD_029,Across,8332.066192
MPD_031,Across,7566.379097
MPD_037,Across,8216.789346
MPD_076,Across,8098.492793
MPD_038,Across,7586.550244
MPD_075,Across,7906.401407
MPD_117,Across,7772.300104
MPD_132,Across,8321.959229
MPD_175,Across,7781.899571
MPD_177,Across,7621.517863
MPD_203,Across,7247.180608
MPD_252,Across,7708.258497
MPD_155,Across,7874.674903
MPD_242,Across,8700.131553
MPD_161,Across,8096.015062
MPD_269,Across,7913.958534
MPD_057,Across,8089.584487
MPD_119,Across,7453.091411
MPD_254,Across,7535.985233
MPD_066,Across,7520.849588
MPD_073,Across,6821.208425
MPD_009,Across,7875.406958
MPD_160,Across,8241.976744
MPD_010,Across,8153.454966
MPD_098,Across,7751.581423
MPD_030,Across,7444.55258
MPD_291,Across,8189.931176
MPD_077,Across,7537.909907
MPD_072,Across,7735.531691
MPD_281,Across,8332.206697
MPD_140,Across,7813.541131
MPD_114,Across,8098.149249
MPD_174,Across,7722.895833
MPD_164,Across,8227.893804
MPD_006,Across,7671.578503
MPD_171,Across,7966.844683
MPD_078,Across,7958.551309
MPD_248,Across,7996.464765
MPD_183,Across,7699.460256
MPD_112,Across,6974.857511
MPD_054,Across,8011.165302
MPD_087,Across,7299.285501
MPD_146,Across,7557.448527
MPD_256,Across,7436.988077
MPD_048,Across,7399.030785
MPD_060,Across,6919.138869
MPD_033,Across,8000.390754
MPD_201,Across,8161.44444
MPD_036,Across,7529.447578
MPD_130,Across,7621.008887
MPD_003,Across,7472.072581
MPD_008,Across,6939.192213
MPD_139,Across,8684.166399
MPD_020,Across,8415.514203
MPD_152,Across,8304.732086
MPD_035,Across,8021.281322
MPD_013,Across,7831.778042
MPD_110,Across,7593.338235
MPD_214,Across,6742.3353
MPD_212,Across,7516.103149
MPD_015,Across,7694.987644
MPD_103,Across,7784.158612
MPD_163,Across,7059.464878
MPD_279,Across,7456.326785
MPD_280,Across,7582.251315
MPD_290,Across,7672.01746
MPD_005,Across,7386.780501
MPD_186,Across,6915.854433
MPD_059,Across,6770.562878
MPD_165,Across,7481.54128
MPD_185,Across,7961.036909
MPD_022,Across,7214.964171
MPD_292,Across,7223.107528
MPD_018,Across,7884.294548
MPD_122,Across,6232.319973
MPD_091,Across,6753.901398
MPD_081,Across,7211.531092
MPD_088,Across,7164.823798
MPD_148,Across,7855.499192
MPD_226,Across,7359.375452
MPD_050,Across,7550.760959
MPD_285,Across,6258.836505
MPD_218,Across,7440.208096
MPD_255,Across,8190.65006
MPD_045,Across,7242.470005
MPD_011,Across,7187.999894
MPD_084,Across,7945.439649
MPD_207,Across,7981.362874
MPD_056,Across,7104.041306
MPD_042,Across,6529.320047
MPD_021,Across,6243.013983
MPD_089,Across,7597.795419
MPD_019,Across,7332.250085
MPD_053,Across,7742.581233
MPD_224,Across,7053.867065
MPD_063,Across,7799.485205
MPD_166,Across,7716.3124
MPD_105,Across,7188.999099
