Genotype,Yield - 2021 LA1,Plant Height - 2021 LA1,Yield - 2021 LA2,Plant Height - 2021 LA2,Yield - 2022 LA1,Plant Height - 2022 LA1,Yield - 2022 LA2,Plant Height - 2022 LA2,Yield - 2021 AR,Plant Height - 2021 AR,Yield - 2022 AR,Plant Height - 2022 AR,Mean Yield - Across LA & AR,Mean Plant Height - Across LA & AR
MP8_128,8874.422644,90.15343645,8357.829961,97.99462128,9414.023433,96.06703619,8154.922006,88.13319323,9260.244571,90.71592805,7784.430601,94.61764876,8673.485364,93.06385546
MP8_132,6731.822659,90.87446148,7421.855497,91.14084423,8212.924381,85.50274816,7085.14343,84.00652769,9459.269562,87.5913257,8810.408214,91.85966988,7986.080885,88.63165192
MP8_223,7507.736279,92.52674274,7582.39856,101.2775825,,,,,9819.304382,100.3387076,,,8099.475331,97.19122001
MP8_229,8519.82541,97.69781319,6607.598205,96.13986162,8062.304124,93.00579568,7519.399557,86.79010304,,,7950.124278,95.20765536,7906.060675,94.44630826
MP8_264,9547.482583,101.7801711,6844.244213,103.4079537,7738.049782,97.51433256,8436.332714,89.19392098,9801.232264,107.0449352,8446.042043,99.6261042,8501.399589,99.88131932
MP8_316,8791.659394,96.32063509,6794.630372,106.1366991,,,,,10378.82602,101.7066873,,,8451.380855,100.5315506
MP8_328,7194.728414,94.98214724,7988.275118,102.8953305,8098.703123,94.14771391,7822.361491,86.57777024,,,8498.192768,96.24302599,8094.660847,95.69261901
MP8_400,8254.051751,92.56982384,6864.665771,99.21205795,,,,,9247.55451,95.17957767,,,7918.431301,94.79740978
MP8_222,8941.398899,103.3913336,8092.739168,110.9793885,,,,,10535.74401,110.3664153,,,8986.297035,107.3893027
MP8_234,9853.513058,94.03478394,7749.627986,100.4961829,9885.640151,98.62242619,8054.121176,89.07449971,9716.539968,92.74270021,8538.155309,98.60147333,8998.764529,95.73290002
MP8_069,8402.046642,100.9098928,7963.714641,106.5250939,7567.476579,97.47618603,8259.380382,86.46652403,,,8765.182189,102.5023545,8365.769678,99.48621367
MP8_213,8759.958233,98.13947488,7951.125489,104.8413839,8350.84634,96.62881662,7852.372419,90.37302213,9222.633088,104.301071,8149.543672,113.1446924,8413.580416,101.4037922
MP6_147,9249.735428,87.82382216,8763.9988,97.22403195,9483.130945,92.96694746,8478.165419,81.50801312,,,9494.780905,99.98838788,9268.171186,92.67630128
MP6_082,8617.899744,92.30494381,8620.314269,96.53131233,7513.585642,93.28208339,8013.842472,90.02233358,,,7981.88043,97.47939265,8323.718238,94.6652385
MP6_093,9073.306547,83.79354763,8472.696562,88.99117098,9409.14032,90.99600773,7357.964048,80.63492127,9838.062267,90.76311468,8603.945316,84.26484033,8825.022263,86.70511562
MP8_356,9054.54518,101.5488975,8636.858632,100.7033003,9213.791489,95.87775216,8201.824703,93.29323113,10444.33729,97.62025895,8887.858134,94.41503154,9105.709416,97.37851819
MP8_343,8730.225782,96.7044715,8499.392738,100.2040173,8717.082023,94.93687413,7883.543769,90.23807119,9110.780603,101.0582875,8576.334497,99.39483298,8618.737401,97.27947759
MP8_197,8330.379323,94.27123765,8330.745195,102.2038074,8742.356129,100.183902,7903.503914,94.29655099,9865.853529,100.2551229,8980.458719,106.7261386,8724.728256,99.72875954
MP8_239,8429.207628,98.04351632,8568.222167,101.26873,,,,,,,,,8531.221123,99.79282061
MP8_322,8813.75545,99.46841698,7727.883718,102.8097666,8071.155682,93.10010974,7751.335024,88.35452653,9909.833205,91.71020898,7976.671491,99.61151782,8407.618027,95.94879427
MP6_283,7291.814512,90.52370056,6220.15675,98.33088032,7861.465715,91.26794003,7724.611742,89.61799683,9213.542429,94.79751895,7436.554114,97.5187378,7657.197351,93.80763319
MP8_202,8297.875032,101.4648294,7916.344032,100.8172725,7714.734905,95.69370839,7403.642708,92.1909169,9876.039901,97.48510729,7973.511474,99.7218592,8229.539603,98.0691941
MP6_077,9031.641315,100.231209,9007.679831,113.3222717,9790.075917,101.5470774,8110.170001,93.20994172,9225.956616,104.2548061,9565.489575,108.5748181,9154.344205,103.7002369
MP8_371,8906.308181,109.2500475,8583.568266,112.9111424,,,,,10029.57628,111.2586006,,,8969.477902,110.2834069
MP8_310,9134.977258,103.6814668,8437.381884,114.4667744,,,,,8995.762048,112.1317891,,,8652.374374,109.2369475
MP8_217,8549.151491,111.658545,7539.679484,116.6183249,8015.620026,102.7567249,6530.360591,98.27532829,9389.486061,121.2406868,7725.523795,127.6320922,7990.813928,113.1911987
MP6_341,8989.368038,105.5397817,9073.946494,113.3201009,8356.817758,97.34841408,7831.97124,96.37103423,,,7663.802178,118.2298589,8557.392742,106.8955815
MP6_088,8860.490935,108.2097074,8038.86978,118.5817349,,,,,9178.298248,115.5562961,,,8488.884128,113.2594568
MP6_212,8281.437605,86.87351001,8092.355626,87.32706125,,,,,,,,,8219.402841,87.23698308
MP6_294,6398.399588,90.75522068,6731.872538,89.39322462,8875.693062,90.9676625,7547.23247,85.70709966,10789.09274,92.72347172,8198.485236,97.24936094,8122.631245,91.28526035
MP6_409,9802.880857,93.02905785,8884.630384,93.75704813,10559.88656,94.78573753,9574.743184,88.48236929,11437.42831,98.57066154,10705.38964,94.21597256,10193.32433,93.93340317
MP6_418,8115.616364,97.63658804,8241.710758,97.84332019,,,,,,,,,8211.169786,97.87665156
MP8_085,7895.145949,97.63074663,8021.640142,99.4168422,8849.511352,94.71982424,7795.740159,84.67353153,11145.56402,97.73511577,9487.760461,105.0166124,8898.405672,96.66508305
MP8_401,8238.999311,93.04393879,8034.282504,92.26178061,9057.720786,94.89411437,8025.086007,88.71500407,10347.07965,91.97829032,8275.239624,93.74460642,8695.563893,92.54448593
MP6_097,7840.264021,95.24761915,8362.215356,98.85964647,,,,,9804.441109,98.66691559,,,8465.305545,96.73498398
MP8_180,8971.157059,98.17116839,7516.353873,110.7515216,,,,,10483.55744,100.6962729,,,8786.70907,102.3499735
MP8_089,9730.686305,90.85327806,8913.016802,93.97173124,10158.80372,94.1925872,8446.40922,89.6337573,9638.639302,92.85940146,9776.973949,95.23344493,9476.59059,92.94171997
MP6_363,9004.459451,95.10341397,,,7941.658266,90.4080679,7005.8044,82.77850806,,,7703.886434,90.39733753,8088.162556,90.46466161
MP6_275,7247.472187,91.14389198,8127.25358,95.51728241,,,,,9846.879184,96.64077605,,,8203.539068,93.57747114
MP6_384,7850.835536,93.87298226,8392.395849,101.4306776,8506.478802,94.21653888,7236.679366,89.53409415,,,8813.207022,97.88143572,8334.128559,96.11052952
MP6_059,8617.753675,99.62950641,8496.74366,104.4347697,8111.274587,97.59532433,7764.005067,89.10700464,10196.44863,103.4308144,9303.825815,109.8262385,8780.846519,100.8249892
MP6_167,10438.88657,93.10959425,8462.357619,98.63095425,8658.614852,91.48489167,7646.493184,89.55792977,10515.08402,93.11445938,8986.858899,96.09462317,9150.557133,93.83813704
MP8_181,9815.771071,93.46889808,8000.490933,94.22287834,,,,,10366.3729,92.81975405,,,9190.535457,92.64725388
MP6_011,9185.199548,89.71232091,7824.955124,97.29742073,9311.187391,96.44622081,8805.138534,85.78338687,9759.629286,93.13248804,8027.371018,94.84560011,8851.413336,93.00214332
MP6_392,8658.663423,85.143196,9023.634534,91.08499165,10036.35783,94.42459909,8905.695571,93.93903813,10924.78626,92.55455401,9417.181916,91.69447077,9526.886142,91.56841266
MP6_297,9399.049238,100.5329422,7525.582579,103.9243221,8116.764034,99.57977134,7960.827111,91.97331599,,,8857.149423,102.7444827,8546.083512,100.5054161
MP6_256,9078.121983,89.98912653,8760.278882,100.5476205,,,,,10144.05181,98.26250659,,,9123.819728,95.40997168
MP6_416,8046.146437,105.350834,7575.926058,106.9318201,,,,,9272.730356,103.6894206,,,8094.60539,104.4676242
MP8_171,9260.088427,97.22706487,7636.900149,101.2291908,10122.95997,97.16155394,9598.700262,94.97650522,10068.29111,97.65981552,9304.582267,101.2130803,9364.429973,98.35794075
MP6_164,9690.643836,99.66669204,8457.550629,108.4128934,10016.00863,96.92385326,8624.710674,93.01206685,11114.87336,100.8705561,8541.359034,104.0476797,9440.040401,100.6034696
MP6_169,8457.696608,98.12947212,8901.09319,98.68910204,9262.244131,91.06034399,7567.848345,84.53122328,9740.703142,89.1297293,8785.692112,94.2394061,8818.391141,92.81246091
MP8_157,8217.330284,95.76309239,6530.628477,102.7768425,,,,,9186.433443,93.46609709,,,7774.462375,96.47889006
MP6_055,8928.628081,94.46615302,8350.097312,95.89345918,8576.460469,92.89998087,7823.604897,88.58211307,10412.96738,92.91084314,7799.951119,93.11838215,8681.115468,93.10025038
MP6_408,9088.226351,105.8567975,8625.136753,105.0930166,9570.9713,99.62976248,8037.9631,94.31276949,,,8084.544263,110.3675205,8855.579157,103.7654712
MP8_307,7393.95636,88.40090713,8475.707643,100.9912236,,,,,9368.599213,93.77849232,,,8209.081734,93.53372624
